Tranches,DATE,MONEY,COIN,Rescue,Sub1,Price1,Profit1,Cover1,Sub2,Price2,Profit2,Cover2,Sub3,Price3,Profit3,Cover3,Sub4,Price4,Profit4,Cover4,Sub5,Price5,Profit5,Cover5
Tranche 1,5/10/2021 11:18,5361.792,BNBUSD,,,632.4224,,,,565.3,,,1.0,534.867,635.28278,,,,,,,,,
Tranche 2,50:08.2,5891.2043,ZECUSD,10.0,,275.95,,,,254.63,,,,235.2,,,,217.36,,,1.0,201.0,218.96400000000003,
Tranche 3,2021-06-21 20:25:53.881874,4417.916,ADAUSD,,,1.7267,,,,1.5969,,,,1.4547,,,,1.3,,,1.0,1.13,1.513743,
Tranche 4,2021-06-21 05:20:46.510438,5578.6438,NANOUSD,,,7.9,,,,7.3018,,,,6.6648,,,,5.9163,,,1.0,5.164,6.918849000000001,
Tranche 5,44:21.4,6232.143,COMPUSD,,,667.39,,,,616.66,,,,569.41,,,,521.48,,,1.0,479.92,516.2,
Tranche 6,40:53.0,7264.1,XLMUSD,,,0.6453,,,,0.5969,,,,0.552,,,,0.509,,,1.0,0.47,0.5121,
Tranche 7,2021-06-21 06:32:06.396331,4293.1482,LINKUSD,,,24.4507,,,,22.5551,,,,20.5527,,,1.0,18.4519,22.577730000000003,16.0152085,,,,
Tranche 8,,0.0,WAVESUSD,,1.0,16.0585,16.861425,14.8541125,,,,,,,,,,,,,,,,
Tranche 9,5/7/2021 11:18,6565.597,EGLDUSD,,,191.437,,,,176.798,,,,163.094,,,,150.768,,,1.0,139.376,122.04,
Tranche 10,13:01.8,5733.3476,OXTUSD,,,0.4457,,,,0.4106,,,,0.3766,,,,0.3341,,,1.0,0.2917,0.390327,
Tranche 11,2021-06-20 06:07:08.548176,2260.7637,ZECUSD,1.0,,150.15,,,1.0,125.47,218.96400000000003,96.5825,,,,,,,,,,,,
Tranche 12,,,,,,,,,,,,,,,,,,,,,,,,
,,-423.35370000000046,,,,,,,,,,,,,,,,,,,,,,
